, 	 0.05000000000000000278, 	 0.07500000000000001110, 	 0.08000000000000001554, 	 0.09000000000000001055, 	 0.10000000000000000555, 	 0.11000000000000001443, 	 0.11999999999999999556, 	 0.15000000000000002220, 	 0.18000000000000002109
0.01250000000000000069, 	 0.98793638814496231859, 	 0.00245670786602247360, 	 0.00272930987465537902, 	 0.00348296559379235012, 	 0.00461118839079950257, 	 0.00626908045788465099, 	 0.00867845136887953304, 	 0.02287841740684229408, 	 0.04908031251283456742
0.03750000000000000555, 	 1.97097331394476205091, 	 0.00245687240362510700, 	 0.00273019916563831773, 	 0.00348367900972530861, 	 0.00461152659282438801, 	 0.00627026464665108880, 	 0.00868024624139941345, 	 0.02288026923183961517, 	 0.04908261125512949213
0.06250000000000000000, 	 2.95116553004767334656, 	 0.00245706814321195810, 	 0.00273114835939741556, 	 0.00348451784824905944, 	 0.00461189660706539870, 	 0.00627162550004000102, 	 0.00868235886631438074, 	 0.02288190758059125557, 	 0.04908396865630847844
0.08750000000000000833, 	 3.92834436627827532362, 	 0.00245740921803477711, 	 0.00273214130963433640, 	 0.00348577327652333782, 	 0.00461261581808922530, 	 0.00627365795420266326, 	 0.00868522413994932650, 	 0.02288436919170408479, 	 0.04908571154745396126
0.11250000000000000278, 	 4.90234304904888329446, 	 0.00245791747346068646, 	 0.00273318100957913989, 	 0.00348721467680539188, 	 0.00461378238632788838, 	 0.00627614836832328556, 	 0.00868869600396802652, 	 0.02288767479226033394, 	 0.04908776731436752250
0.13750000000000001110, 	 5.87299967477343987099, 	 0.00245871406614666657, 	 0.00273426903481675896, 	 0.00348891089938570655, 	 0.00461551289447215216, 	 0.00627922904954412477, 	 0.00869273657047274495, 	 0.02289199934337001613, 	 0.04909010044939580986
0.16250000000000000555, 	 6.84015969225830300360, 	 0.00245972116488156218, 	 0.00273541524009188837, 	 0.00349075512910756482, 	 0.00461788384143294386, 	 0.00628279030307796194, 	 0.00869733361422754883, 	 0.02289744325883637938, 	 0.04909270042223149583
0.18750000000000000000, 	 7.80367666708479834625, 	 0.00246079417275812127, 	 0.00273658179779689807, 	 0.00349277338802028324, 	 0.00462090236135954090, 	 0.00628678281952591185, 	 0.00870247927910615740, 	 0.02290410225416948664, 	 0.04909549321408406691
0.21250000000000002220, 	 8.76340801706278149652, 	 0.00246191062736077562, 	 0.00273776913189344119, 	 0.00349498900908126048, 	 0.00462451401449719569, 	 0.00629122847532716505, 	 0.00870817008971914823, 	 0.02291208687225024243, 	 0.04909851584476734171
